FF;
d1_r0_l1_p2_c2_g2;0.003
d1_r0_l1_p3_c3_g3;0.004
d1_r0_l2_p4_c4_g4;0.004
d1_r0_l2_p5_c5_g5;0.004
d1_r0_l3_p6_c6_g6;0.006
d1_r0_l3_p7_c7_g7;0.013
d1_r0_l4_p8_c8_g8;0.012
d1_r0_l4_p9_c9_g9;0.014
d1_r0_l5_p10_c10_g10;0.026
d1_r0_l5_p11_c11_g11;0.032
d1_r0_l6_p12_c12_g12;0.039
d1_r0_l6_p13_c13_g13;0.07
d1_r0_l7_p14_c14_g14;0.093
d1_r0_l7_p15_c15_g15;0.14
d1_r0_l8_p16_c16_g16;0.238
d1_r0_l8_p17_c17_g17;0.22
d1_r0_l9_p18_c18_g18;0.38
d1_r0_l9_p19_c19_g19;0.627
d1_r0_l10_p20_c20_g20;0.74
d1_r0_l10_p21_c21_g21;1.008
d1_r0_l11_p22_c22_g22;0.983
d1_r0_l11_p23_c23_g23;1.816
d1_r0_l12_p24_c24_g24;1.704
d1_r0_l12_p25_c25_g25;2.591
d1_r0_l13_p26_c26_g26;3.065
d1_r0_l13_p27_c27_g27;3.687
d1_r0_l14_p28_c28_g28;5.67
d1_r0_l14_p29_c29_g29;7.968
d1_r0_l15_p30_c30_g30;8.723
d1_r0_l15_p31_c31_g31;9.708
d1_r0_l16_p32_c32_g32;10.157
d1_r0_l16_p33_c33_g33;13.258
d1_r0_l17_p34_c34_g34;30.735
d1_r0_l17_p35_c35_g35;14.886
d1_r0_l18_p36_c36_g36;27.234
d1_r0_l18_p37_c37_g37;20.665
d1_r0_l19_p38_c38_g38;38.434
d1_r0_l19_p39_c39_g39;37.563
d1_r0_l20_p40_c40_g40;47.496
d1_r0_l20_p41_c41_g41;44.946
d1_r0_l21_p42_c42_g42;66.845
d1_r0_l21_p43_c43_g43;51.541
d1_r0_l22_p44_c44_g44;47.036
d1_r0_l22_p45_c45_g45;73.736
d1_r0_l23_p46_c46_g46;95.831
d1_r0_l23_p47_c47_g47;224.131
d1_r0_l24_p48_c48_g48;425.636
;
LPG-TD;
d1_r0_l1_p2_c2_g2;0.078
d1_r0_l1_p3_c3_g3;0.066
d1_r0_l2_p4_c4_g4;0.066
d1_r0_l2_p5_c5_g5;0.062
d1_r0_l3_p6_c6_g6;0.062
d1_r0_l3_p7_c7_g7;0.07
d1_r0_l4_p8_c8_g8;0.065
d1_r0_l4_p9_c9_g9;0.07
d1_r0_l5_p10_c10_g10;0.071
d1_r0_l5_p11_c11_g11;0.069
d1_r0_l6_p12_c12_g12;0.073
d1_r0_l6_p13_c13_g13;0.079
d1_r0_l7_p14_c14_g14;0.074
d1_r0_l7_p15_c15_g15;0.067
d1_r0_l8_p16_c16_g16;0.072
d1_r0_l8_p17_c17_g17;0.074
d1_r0_l9_p18_c18_g18;0.074
d1_r0_l9_p19_c19_g19;0.075
d1_r0_l10_p20_c20_g20;0.077
d1_r0_l10_p21_c21_g21;0.082
d1_r0_l11_p22_c22_g22;0.081
d1_r0_l11_p23_c23_g23;0.089
d1_r0_l12_p24_c24_g24;0.102
d1_r0_l12_p25_c25_g25;0.104
d1_r0_l13_p26_c26_g26;0.103
d1_r0_l13_p27_c27_g27;0.104
d1_r0_l14_p28_c28_g28;0.103
d1_r0_l14_p29_c29_g29;0.107
d1_r0_l15_p30_c30_g30;0.104
d1_r0_l15_p31_c31_g31;0.119
d1_r0_l16_p32_c32_g32;0.125
d1_r0_l16_p33_c33_g33;0.133
d1_r0_l17_p34_c34_g34;0.131
d1_r0_l17_p35_c35_g35;0.148
d1_r0_l18_p36_c36_g36;0.152
d1_r0_l18_p37_c37_g37;0.152
d1_r0_l19_p38_c38_g38;0.168
d1_r0_l19_p39_c39_g39;0.19
d1_r0_l20_p40_c40_g40;0.191
d1_r0_l20_p41_c41_g41;0.185
d1_r0_l21_p42_c42_g42;0.204
d1_r0_l21_p43_c43_g43;0.227
d1_r0_l22_p44_c44_g44;0.229
d1_r0_l22_p45_c45_g45;0.254
d1_r0_l23_p46_c46_g46;0.257
d1_r0_l23_p47_c47_g47;0.268
d1_r0_l24_p48_c48_g48;0.272
d1_r0_l24_p49_c49_g49;0.282
d1_r0_l25_p50_c50_g50;0.33
d1_r0_l25_p51_c51_g51;0.305
d1_r0_l26_p52_c52_g52;0.354
d1_r0_l26_p53_c53_g53;0.38
d1_r0_l27_p54_c54_g54;0.37
d1_r0_l27_p55_c55_g55;0.365
d1_r0_l28_p56_c56_g56;0.399
d1_r0_l28_p57_c57_g57;0.437
d1_r0_l29_p58_c58_g58;0.531
d1_r0_l29_p59_c59_g59;0.589
d1_r0_l30_p60_c60_g60;0.505
d1_r0_l30_p61_c61_g61;0.543
d1_r0_l31_p62_c62_g62;0.531
d1_r0_l31_p63_c63_g63;0.603
d1_r0_l32_p64_c64_g64;0.577
d1_r0_l32_p65_c65_g65;0.787
d1_r0_l33_p66_c66_g66;0.612
d1_r0_l33_p67_c67_g67;0.568
d1_r0_l34_p68_c68_g68;0.834
d1_r0_l34_p69_c69_g69;0.764
d1_r0_l35_p70_c70_g70;0.808
d1_r0_l35_p71_c71_g71;0.92
d1_r0_l36_p72_c72_g72;0.855
d1_r0_l36_p73_c73_g73;0.956
d1_r0_l37_p74_c74_g74;0.904
d1_r0_l37_p75_c75_g75;1.143
d1_r0_l38_p76_c76_g76;1.079
d1_r0_l38_p77_c77_g77;1.112
d1_r0_l39_p78_c78_g78;1.204
d1_r0_l39_p79_c79_g79;1.187
d1_r0_l40_p80_c80_g80;1.24
d1_r0_l40_p81_c81_g81;1.272
d1_r0_l41_p82_c82_g82;2.833
d1_r0_l41_p83_c83_g83;1.389
d1_r0_l42_p84_c84_g84;1.359
d1_r0_l42_p85_c85_g85;2.44
d1_r0_l43_p86_c86_g86;3.802
d1_r0_l43_p87_c87_g87;2.638
d1_r0_l44_p88_c88_g88;2.939
d1_r0_l44_p89_c89_g89;3.317
d1_r0_l45_p90_c90_g90;3.168
d1_r0_l45_p91_c91_g91;4.681
d1_r0_l46_p92_c92_g92;3.485
d1_r0_l46_p93_c93_g93;3.796
d1_r0_l47_p94_c94_g94;3.596
d1_r0_l47_p95_c95_g95;4.959
d1_r0_l48_p96_c96_g96;5.254
d1_r0_l48_p97_c97_g97;5.481
d1_r0_l49_p98_c98_g98;10.823
d1_r0_l49_p99_c99_g99;4.734
d1_r0_l50_p100_c100_g100;2.966
;
SGPLAN40;
d1_r0_l1_p2_c2_g2;0.015
d1_r0_l1_p3_c3_g3;0.003
d1_r0_l2_p4_c4_g4;0.003
d1_r0_l2_p5_c5_g5;0.003
d1_r0_l3_p6_c6_g6;0.005
d1_r0_l3_p7_c7_g7;0.004
d1_r0_l4_p8_c8_g8;0.005
d1_r0_l4_p9_c9_g9;0.005
d1_r0_l5_p10_c10_g10;0.007
d1_r0_l5_p11_c11_g11;0.012
d1_r0_l6_p12_c12_g12;0.007
d1_r0_l6_p13_c13_g13;0.008
d1_r0_l7_p14_c14_g14;0.007
d1_r0_l7_p15_c15_g15;0.018
d1_r0_l8_p16_c16_g16;0.024
d1_r0_l8_p17_c17_g17;0.012
d1_r0_l9_p18_c18_g18;0.024
d1_r0_l9_p19_c19_g19;0.015
d1_r0_l10_p20_c20_g20;0.036
d1_r0_l10_p21_c21_g21;0.05
d1_r0_l11_p22_c22_g22;0.035
d1_r0_l11_p23_c23_g23;0.031
d1_r0_l12_p24_c24_g24;0.089
d1_r0_l12_p25_c25_g25;0.089
d1_r0_l13_p26_c26_g26;0.154
d1_r0_l13_p27_c27_g27;0.182
d1_r0_l14_p28_c28_g28;0.158
d1_r0_l14_p29_c29_g29;0.113
d1_r0_l15_p30_c30_g30;0.134
d1_r0_l15_p31_c31_g31;0.224
d1_r0_l16_p32_c32_g32;0.312
d1_r0_l16_p33_c33_g33;0.184
d1_r0_l17_p34_c34_g34;0.441
d1_r0_l17_p35_c35_g35;0.327
d1_r0_l18_p36_c36_g36;0.312
d1_r0_l18_p37_c37_g37;0.514
d1_r0_l19_p38_c38_g38;0.456
d1_r0_l19_p39_c39_g39;1.194
d1_r0_l20_p40_c40_g40;0.738
d1_r0_l20_p41_c41_g41;1.247
d1_r0_l21_p42_c42_g42;1.138
d1_r0_l21_p43_c43_g43;1.756
d1_r0_l22_p44_c44_g44;0.773
d1_r0_l22_p45_c45_g45;1.996
d1_r0_l23_p46_c46_g46;1.434
d1_r0_l23_p47_c47_g47;2.093
d1_r0_l24_p48_c48_g48;1.273
d1_r0_l24_p49_c49_g49;1.893
d1_r0_l25_p50_c50_g50;3.252
d1_r0_l25_p51_c51_g51;3.399
d1_r0_l26_p52_c52_g52;4.626
d1_r0_l26_p53_c53_g53;3.527
d1_r0_l27_p54_c54_g54;3.444
d1_r0_l27_p55_c55_g55;1.771
d1_r0_l28_p56_c56_g56;5.621
d1_r0_l28_p57_c57_g57;6.453
d1_r0_l29_p58_c58_g58;4.329
d1_r0_l29_p59_c59_g59;7.439
d1_r0_l30_p60_c60_g60;7.404
d1_r0_l30_p61_c61_g61;6.963
d1_r0_l31_p62_c62_g62;8.316
d1_r0_l31_p63_c63_g63;10.746
d1_r0_l32_p64_c64_g64;12.926
d1_r0_l32_p65_c65_g65;9.516
d1_r0_l33_p66_c66_g66;11.765
d1_r0_l33_p67_c67_g67;12.369
d1_r0_l34_p68_c68_g68;13.942
d1_r0_l34_p69_c69_g69;6.867
d1_r0_l35_p70_c70_g70;6.886
d1_r0_l35_p71_c71_g71;20.028
d1_r0_l36_p72_c72_g72;19.616
d1_r0_l36_p73_c73_g73;6.219
d1_r0_l37_p74_c74_g74;24.232
d1_r0_l37_p75_c75_g75;10.086
d1_r0_l38_p76_c76_g76;13.507
d1_r0_l38_p77_c77_g77;13.366
d1_r0_l39_p78_c78_g78;15.175
d1_r0_l39_p79_c79_g79;26.293
d1_r0_l40_p80_c80_g80;31.069
d1_r0_l40_p81_c81_g81;27.809
d1_r0_l41_p82_c82_g82;42.251
d1_r0_l41_p83_c83_g83;31.651
d1_r0_l42_p84_c84_g84;49.614
d1_r0_l42_p85_c85_g85;42.369
d1_r0_l43_p86_c86_g86;41.019
d1_r0_l43_p87_c87_g87;36.954
d1_r0_l44_p88_c88_g88;59.437
d1_r0_l44_p89_c89_g89;28.996
d1_r0_l45_p90_c90_g90;32.488
d1_r0_l45_p91_c91_g91;47.433
d1_r0_l46_p92_c92_g92;24.218
d1_r0_l46_p93_c93_g93;27.299
d1_r0_l47_p94_c94_g94;64.361
d1_r0_l47_p95_c95_g95;71.46
d1_r0_l48_p96_c96_g96;83.087
d1_r0_l48_p97_c97_g97;100.156
d1_r0_l49_p98_c98_g98;84.608
d1_r0_l49_p99_c99_g99;39.423
d1_r0_l50_p100_c100_g100;55.199
;
SATPLAN;
d1_r0_l1_p2_c2_g2;0.011
d1_r0_l1_p3_c3_g3;0.014
d1_r0_l2_p4_c4_g4;0.015
d1_r0_l2_p5_c5_g5;0.012
d1_r0_l3_p6_c6_g6;0.016
d1_r0_l3_p7_c7_g7;0.013
d1_r0_l4_p8_c8_g8;0.022
d1_r0_l4_p9_c9_g9;0.018
d1_r0_l5_p10_c10_g10;0.018
d1_r0_l5_p11_c11_g11;0.021
d1_r0_l6_p12_c12_g12;0.025
d1_r0_l6_p13_c13_g13;0.024
d1_r0_l7_p14_c14_g14;0.031
d1_r0_l7_p15_c15_g15;0.036
d1_r0_l8_p16_c16_g16;0.039
d1_r0_l8_p17_c17_g17;0.047
d1_r0_l9_p18_c18_g18;0.045
d1_r0_l9_p19_c19_g19;0.046
d1_r0_l10_p20_c20_g20;0.054
d1_r0_l10_p21_c21_g21;0.061
d1_r0_l11_p22_c22_g22;0.069
d1_r0_l11_p23_c23_g23;0.079
d1_r0_l12_p24_c24_g24;0.094
d1_r0_l12_p25_c25_g25;0.11
d1_r0_l13_p26_c26_g26;0.125
d1_r0_l13_p27_c27_g27;0.15
d1_r0_l14_p28_c28_g28;0.165
d1_r0_l14_p29_c29_g29;0.182
d1_r0_l15_p30_c30_g30;0.207
d1_r0_l15_p31_c31_g31;0.223
d1_r0_l16_p32_c32_g32;0.27
d1_r0_l16_p33_c33_g33;0.291
d1_r0_l17_p34_c34_g34;0.331
d1_r0_l17_p35_c35_g35;0.346
d1_r0_l18_p36_c36_g36;0.406
d1_r0_l18_p37_c37_g37;0.429
d1_r0_l19_p38_c38_g38;0.481
d1_r0_l19_p39_c39_g39;0.511
d1_r0_l20_p40_c40_g40;0.584
d1_r0_l20_p41_c41_g41;0.641
d1_r0_l21_p42_c42_g42;0.724
d1_r0_l21_p43_c43_g43;0.767
d1_r0_l22_p44_c44_g44;0.837
d1_r0_l22_p45_c45_g45;0.912
d1_r0_l23_p46_c46_g46;0.981
d1_r0_l23_p47_c47_g47;1.07
d1_r0_l24_p48_c48_g48;1.149
d1_r0_l24_p49_c49_g49;1.233
d1_r0_l25_p50_c50_g50;1.388
d1_r0_l25_p51_c51_g51;1.575
d1_r0_l26_p52_c52_g52;1.583
d1_r0_l26_p53_c53_g53;1.674
d1_r0_l27_p54_c54_g54;1.773
d1_r0_l27_p55_c55_g55;1.87
d1_r0_l28_p56_c56_g56;2.053
d1_r0_l28_p57_c57_g57;2.232
d1_r0_l29_p58_c58_g58;2.478
d1_r0_l29_p59_c59_g59;2.573
d1_r0_l30_p60_c60_g60;2.714
d1_r0_l30_p61_c61_g61;2.988
d1_r0_l31_p62_c62_g62;3.11
d1_r0_l31_p63_c63_g63;3.257
d1_r0_l32_p64_c64_g64;3.567
d1_r0_l32_p65_c65_g65;4.081
d1_r0_l33_p66_c66_g66;4.353
d1_r0_l33_p67_c67_g67;4.306
d1_r0_l34_p68_c68_g68;4.516
d1_r0_l34_p69_c69_g69;4.715
d1_r0_l35_p70_c70_g70;5.494
d1_r0_l35_p71_c71_g71;5.264
d1_r0_l36_p72_c72_g72;5.682
d1_r0_l36_p73_c73_g73;6.196
d1_r0_l37_p74_c74_g74;6.354
d1_r0_l37_p75_c75_g75;6.726
d1_r0_l38_p76_c76_g76;3.047
d1_r0_l38_p77_c77_g77;2.385
d1_r0_l39_p78_c78_g78;2.551
d1_r0_l39_p79_c79_g79;2.724
d1_r0_l40_p80_c80_g80;2.633
d1_r0_l40_p81_c81_g81;2.698
d1_r0_l41_p82_c82_g82;2.762
d1_r0_l41_p83_c83_g83;2.687
d1_r0_l42_p84_c84_g84;2.756
d1_r0_l42_p85_c85_g85;2.866
d1_r0_l43_p86_c86_g86;2.901
d1_r0_l43_p87_c87_g87;3.157
d1_r0_l44_p88_c88_g88;3.169
d1_r0_l44_p89_c89_g89;3.284
d1_r0_l45_p90_c90_g90;2.975
d1_r0_l45_p91_c91_g91;3.019
d1_r0_l46_p92_c92_g92;3.38
d1_r0_l46_p93_c93_g93;3.49
d1_r0_l47_p94_c94_g94;3.394
d1_r0_l47_p95_c95_g95;3.466
d1_r0_l48_p96_c96_g96;3.533
d1_r0_l48_p97_c97_g97;3.516
d1_r0_l49_p98_c98_g98;3.665
d1_r0_l49_p99_c99_g99;3.82
d1_r0_l50_p100_c100_g100;3.781
;
FASTDOWNWARD;
d1_r0_l1_p2_c2_g2;1.082
d1_r0_l1_p3_c3_g3;0.55
d1_r0_l2_p4_c4_g4;1.032
d1_r0_l2_p5_c5_g5;0.539
d1_r0_l3_p6_c6_g6;1.136
d1_r0_l3_p7_c7_g7;0.584
d1_r0_l4_p8_c8_g8;0.578
d1_r0_l4_p9_c9_g9;0.616
d1_r0_l5_p10_c10_g10;0.551
d1_r0_l5_p11_c11_g11;0.596
d1_r0_l6_p12_c12_g12;0.628
d1_r0_l6_p13_c13_g13;1.164
d1_r0_l7_p14_c14_g14;1.199
d1_r0_l7_p15_c15_g15;1.152
d1_r0_l8_p16_c16_g16;0.651
d1_r0_l8_p17_c17_g17;0.689
d1_r0_l9_p18_c18_g18;0.69
d1_r0_l9_p19_c19_g19;0.7
d1_r0_l10_p20_c20_g20;0.719
d1_r0_l10_p21_c21_g21;0.752
d1_r0_l11_p22_c22_g22;0.846
d1_r0_l11_p23_c23_g23;0.758
d1_r0_l12_p24_c24_g24;0.798
d1_r0_l12_p25_c25_g25;0.829
d1_r0_l13_p26_c26_g26;0.88
d1_r0_l13_p27_c27_g27;0.901
d1_r0_l14_p28_c28_g28;1.375
d1_r0_l14_p29_c29_g29;1.958
d1_r0_l15_p30_c30_g30;1.448
d1_r0_l15_p31_c31_g31;0.99
d1_r0_l16_p32_c32_g32;1.039
d1_r0_l16_p33_c33_g33;1.082
d1_r0_l17_p34_c34_g34;2.079
d1_r0_l17_p35_c35_g35;1.113
d1_r0_l18_p36_c36_g36;1.175
d1_r0_l18_p37_c37_g37;1.758
d1_r0_l19_p38_c38_g38;1.799
d1_r0_l19_p39_c39_g39;1.818
d1_r0_l20_p40_c40_g40;1.844
d1_r0_l20_p41_c41_g41;1.335
d1_r0_l21_p42_c42_g42;1.901
d1_r0_l21_p43_c43_g43;1.368
d1_r0_l22_p44_c44_g44;1.553
d1_r0_l22_p45_c45_g45;1.494
d1_r0_l23_p46_c46_g46;1.64
d1_r0_l23_p47_c47_g47;1.724
d1_r0_l24_p48_c48_g48;1.653
d1_r0_l24_p49_c49_g49;1.838
d1_r0_l25_p50_c50_g50;1.776
d1_r0_l25_p51_c51_g51;1.817
d1_r0_l26_p52_c52_g52;2.071
d1_r0_l26_p53_c53_g53;2.61
d1_r0_l27_p54_c54_g54;2.064
d1_r0_l27_p55_c55_g55;2.747
d1_r0_l28_p56_c56_g56;2.332
d1_r0_l28_p57_c57_g57;2.389
d1_r0_l29_p58_c58_g58;2.263
d1_r0_l29_p59_c59_g59;3.484
d1_r0_l30_p60_c60_g60;3.316
d1_r0_l30_p61_c61_g61;2.625
d1_r0_l31_p62_c62_g62;3.547
d1_r0_l31_p63_c63_g63;2.867
d1_r0_l32_p64_c64_g64;3.06
d1_r0_l32_p65_c65_g65;3.463
d1_r0_l33_p66_c66_g66;3.369
d1_r0_l33_p67_c67_g67;3.124
d1_r0_l34_p68_c68_g68;3.782
d1_r0_l34_p69_c69_g69;3.963
d1_r0_l35_p70_c70_g70;3.383
d1_r0_l35_p71_c71_g71;3.604
d1_r0_l36_p72_c72_g72;4.31
d1_r0_l36_p73_c73_g73;3.508
d1_r0_l37_p74_c74_g74;4.069
d1_r0_l37_p75_c75_g75;5.054
d1_r0_l38_p76_c76_g76;4.239
d1_r0_l38_p77_c77_g77;5.408
d1_r0_l39_p78_c78_g78;4.744
d1_r0_l39_p79_c79_g79;5.956
d1_r0_l40_p80_c80_g80;5.804
d1_r0_l40_p81_c81_g81;5.608
d1_r0_l41_p82_c82_g82;5.228
d1_r0_l41_p83_c83_g83;6.419
d1_r0_l42_p84_c84_g84;6.58
d1_r0_l42_p85_c85_g85;5.998
d1_r0_l43_p86_c86_g86;7.93
d1_r0_l43_p87_c87_g87;6.613
d1_r0_l44_p88_c88_g88;7.267
d1_r0_l44_p89_c89_g89;6.292
d1_r0_l45_p90_c90_g90;7.172
d1_r0_l45_p91_c91_g91;7.736
d1_r0_l46_p92_c92_g92;6.103
d1_r0_l46_p93_c93_g93;6.809
d1_r0_l47_p94_c94_g94;7.62
d1_r0_l47_p95_c95_g95;7.776
d1_r0_l48_p96_c96_g96;8.715
d1_r0_l48_p97_c97_g97;8.18
d1_r0_l49_p98_c98_g98;7.43
d1_r0_l49_p99_c99_g99;7.167
d1_r0_l50_p100_c100_g100;9.312
